competencia,fator,arquivo_origem
1994-07-01,8.781909,01_2021_art_33_normal_gab-1.xlsx
1994-08-01,8.27857,01_2021_art_33_normal_gab-1.xlsx
1994-09-01,7.849959,01_2021_art_33_normal_gab-1.xlsx
1994-10-01,7.733191,01_2021_art_33_normal_gab-1.xlsx
1994-11-01,7.591983,01_2021_art_33_normal_gab-1.xlsx
1994-12-01,7.351583,01_2021_art_33_normal_gab-1.xlsx
1995-01-01,7.194036,01_2021_art_33_normal_gab-1.xlsx
1995-02-01,7.075862,01_2021_art_33_normal_gab-1.xlsx
1995-03-01,7.006502,01_2021_art_33_normal_gab-1.xlsx
1995-04-01,6.909081,01_2021_art_33_normal_gab-1.xlsx
1995-05-01,6.77893,01_2021_art_33_normal_gab-1.xlsx
1995-06-01,6.609074,01_2021_art_33_normal_gab-1.xlsx
1995-07-01,6.490941,01_2021_art_33_normal_gab-1.xlsx
1995-08-01,6.335092,01_2021_art_33_normal_gab-1.xlsx
1995-09-01,6.271131,01_2021_art_33_normal_gab-1.xlsx
1995-10-01,6.198608,01_2021_art_33_normal_gab-1.xlsx
1995-11-01,6.113022,01_2021_art_33_normal_gab-1.xlsx
1995-12-01,6.022092,01_2021_art_33_normal_gab-1.xlsx
1996-01-01,5.924339,01_2021_art_33_normal_gab-1.xlsx
1996-02-01,5.839092,01_2021_art_33_normal_gab-1.xlsx
1996-03-01,5.797923,01_2021_art_33_normal_gab-1.xlsx
1996-04-01,5.78116,01_2021_art_33_normal_gab-1.xlsx
1996-05-01,5.740969,01_2021_art_33_normal_gab-1.xlsx
1996-06-01,5.646116,01_2021_art_33_normal_gab-1.xlsx
1996-07-01,5.578067,01_2021_art_33_normal_gab-1.xlsx
1996-08-01,5.517919,01_2021_art_33_normal_gab-1.xlsx
1996-09-01,5.517696,01_2021_art_33_normal_gab-1.xlsx
1996-10-01,5.510533,01_2021_art_33_normal_gab-1.xlsx
1996-11-01,5.498437,01_2021_art_33_normal_gab-1.xlsx
1996-12-01,5.483087,01_2021_art_33_normal_gab-1.xlsx
1997-01-01,5.435253,01_2021_art_33_normal_gab-1.xlsx
1997-02-01,5.350714,01_2021_art_33_normal_gab-1.xlsx
1997-03-01,5.328331,01_2021_art_33_normal_gab-1.xlsx
1997-04-01,5.267234,01_2021_art_33_normal_gab-1.xlsx
1997-05-01,5.23634,01_2021_art_33_normal_gab-1.xlsx
1997-06-01,5.220678,01_2021_art_33_normal_gab-1.xlsx
1997-07-01,5.184389,01_2021_art_33_normal_gab-1.xlsx
1997-08-01,5.179728,01_2021_art_33_normal_gab-1.xlsx
1997-09-01,5.179728,01_2021_art_33_normal_gab-1.xlsx
1997-10-01,5.149345,01_2021_art_33_normal_gab-1.xlsx
1997-11-01,5.131897,01_2021_art_33_normal_gab-1.xlsx
1997-12-01,5.08965,01_2021_art_33_normal_gab-1.xlsx
1998-01-01,5.054774,01_2021_art_33_normal_gab-1.xlsx
1998-02-01,5.010682,01_2021_art_33_normal_gab-1.xlsx
1998-03-01,5.00968,01_2021_art_33_normal_gab-1.xlsx
1998-04-01,4.998181,01_2021_art_33_normal_gab-1.xlsx
1998-05-01,4.998181,01_2021_art_33_normal_gab-1.xlsx
1998-06-01,4.986715,01_2021_art_33_normal_gab-1.xlsx
1998-07-01,4.972785,01_2021_art_33_normal_gab-1.xlsx
